id;callsign;airline_iata;airline_icao;origin;destination;aircraft_code;registration;latitude;longitude;altitude;ground_speed;heading;vertical_speed;on_ground;squawk;time
3b3396ea;UAE3HJ;EK;UAE;DXB;SYD;A388;A6-EUR;-37.1077;141.3152;39000;600;80;0;0;;1752261339
3b339713;ITY640;AZ;ITY;FCO;SFO;A339;EI-HPA;41.7579;-118.7337;40000;445;217;0;0;;1752261339
3b3397e3;CAL023;CI;CAL;ONT;TPE;B77W;B-18001;31.6311;130.4819;38000;472;232;64;0;;1752261339
3b3399e6;PAL117;PR;PAL;YVR;MNL;B77W;RP-C7777;20.0705;130.7206;31996;497;241;0;0;;1752261337
3b339a1c;DAL188;DL;DAL;ICN;ATL;A359;N573DZ;40.4864;-97.0488;41000;494;113;0;0;;1752261338
3b339a23;ITY678;AZ;ITY;FCO;GRU;A339;EI-HPB;-23.4263;-46.4635;0;13;255;0;1;;1752261339
3b339a72;EVA011;BR;EVA;LAX;TPE;B77W;B-16719;31.2688;129.9277;36000;485;240;0;0;;1752261339
3b339b84;SJX011;JX;SJX;SFO;TPE;A359;B-58510;28.9845;126.5998;40000;463;231;0;0;;1752261336
3b339d3e;UAL892;UA;UAL;ICN;SFO;B789;N24993;37.6063;-122.3455;300;148;298;-768;0;;1752261339
3b339d4b;AAL176;AA;AAL;HND;DFW;B788;N814AA;32.9776;-97.0543;1700;140;180;-768;0;;1752261338
3b339dde;DLZBW;;;FDH;LHA;SHIP;D-LZBW;48.266;7.724;1125;45;192;192;0;;1752261338
3b33a007;ORMAN65;;;;;0000;00000000;40.7239;26.9523;16075;72;241;30976;0;;1752261337
3b33a05a;CAL007;CI;CAL;LAX;TPE;B77W;B-18006;32.5373;131.7517;36000;483;230;0;0;;1752261339
3b33a10e;EVA027;BR;EVA;SFO;TPE;B77W;B-16715;29.4491;127.2647;36000;469;231;0;0;;1752261336
3b33a188;EDW36W;WK;EDW;ZRH;SJO;A343;HB-JMG;10.2475;-84.4535;15225;344;239;-320;0;;1752261339
3b33a1f0;PAL105;PR;PAL;SFO;MNL;B77W;RP-C7772;20.9384;132.5494;34000;491;242;0;0;;1752261337
3b33a203;ACA19;AC;ACA;YVR;SIN;B789;C-FGEI;20.127;126.0804;38000;512;232;0;0;;1752261337
3b33a36d;UAL189;UA;UAL;SFO;MNL;B77W;N2748U;25.9416;132.8838;36000;494;230;0;0;;1752261339
3b33a37f;GLF6;;;;;GLF6;;41.9204;99.2847;44900;536;88;0;0;;1752261337
